volgnr.,id,filename,link,viewer,title,date,description,creator,publisher,physical_width,physical_height,scale,dpi,north,south,east,west,overige,
2293,0106050418001,0106050418001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2591,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2591,Inferioris Germaniae provinciarum nova descriptio / [Willem Jansz. Blaeu],1604,"Annotatie: Onder de titel een nadere omschrijving in het Latijn en Nederlands; Aan het oorspronkelijke kaartbeeld zijn het Bourtangerveen en Fort Bourtange toegevoegd; Lit.: Monumenta cartografica Neerlandica, IV, p. 31-32, 146-153, facs. 5; Oorspr. uitg.: 1604","Blaeu, Willem Jansz.",Amstelodami : ex officina Guilielmi Johannis,41,57,900000,300,54,50,8,3,,
1314,0106050151001,0106050151001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/420,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/422/show/420,"[LL.02729gk: 16232/od/1611], uit: Chaerte vande Wieringer Waert, de welcke inden jaere 1608 begost is bedyckt te worden ... / Adrianus Anthonii describebat",1611,titelvariant: Wieringer Waert; Annotatie: Titel in banderol: Wieringer Waert; Met wapenrand links en rechts van het kaartbeeld; Gekleurd,"Anthonisz., Adriaan",[S.l. : s.n.],,,13000,300,53.25,52.166666666667,5.3333333333333,4.4833333333333,,
1315,0106050151002,0106050151002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/421,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/422/show/421,"[LL.02730gk: 16232/od/1611], uit: Chaerte vande Wieringer Waert, de welcke inden jaere 1608 begost is bedyckt te worden ... / Adrianus Anthonii describebat",1611,titelvariant: Wieringer Waert; Annotatie: Titel in banderol: Wieringer Waert; Met wapenrand links en rechts van het kaartbeeld; Gekleurd,"Anthonisz., Adriaan",[S.l. : s.n.],,,13000,300,53.25,52.166666666667,5.3333333333333,4.4833333333333,,
505,0106053114001,0106053114001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/5692,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/5692,Arnemuyden,1613,Annotatie: Genummerd r.o.: 65; Met de hand gekleurd; Tweede staat: genummerd. Voor het eerste uitgegeven in 1613,Johannes Janssonius 1588-1664,[Amsterdam : J. Janssonius],,,3300,300,52.333333333333,51.166666666667,4.3333333333333,3.3333333333333,,
215,0106050178001,0106050178001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2459,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2459,[Terra del Fuego],1616,,,[S.l. : s.n.],33,44,875000,300,-17,-57,-67,-81,,
912,0106051034001,0106051034001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3009,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3009,Belgii veteris typus : ex conatibus geographicis Abrahami Ortelij,1624,Annotatie: Gegraveerd door Pieter van den Keere; De kaart geeft de Nederlanden weer in de tijd van de Romeinen; Origineel is Blad 33 in atlas factice; Kopie van de kaart van Abraham Ortelius uit 1584; Annotatie geografische gegevens: Met schaalstok,Pieter van den Keere 1571-ná 1646; Abraham Ortelius 1527-1598,[Amsterdam : C.J. Visscher excudebat],38,48,1400000,300,54,50,8,3,,
411,0106050540001,0106050540001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2696,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2696,"Abriss der Stadt Franckenthal, wie solche von dem Vice General Don Gonçalo Fernandes de Cordova belägert gewesen 1621",1625,"Annotatie: Oorspr. verschenen in: Österreichischer Lorbeerkranz oder Kayserl. Victorii ... / Nicolaus Bellus. - Frankfurt am Main : Schönwetter, 1625",,[S.l. : s.n.],20,30,,300,51,48.916666666667,8.5,6.0833333333333,,
4184,0106050562001,0106050562001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1597,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1599/show/1597,"[Recto], uit: Terra Sancta qua in Sacris Terra Promissionis olim Palestina / [Willem Jansz. Blaeu]",1629,"Annotatie: Uit: Tweede deel van 't Toonneel des Aerdriicx, ofte Nieuwe atlas. - Amsterdami : apud Guiljelmum et Iohannem Blaeu, 1635 [of latere editie]; Annotatie geografische gegevens: Noordwest boven","Blaeu, Willem Jansz.",Amstelodami : ex officina Guiljelmi Blaeu,39,50,1000000,300,33.5,29.5,35.666666666667,34.25,,
946,0106050092001,0106050092001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2984,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2984,Caerte van de Naerder ofte Uytermeerse Meer : ghemeeten en in cavelingen van 20 Rijnlantse morgens verdeelt / per me Nicolaum Bonifatium,1629,Annotatie geografische gegevens: Zuidwest boven,"Bonifatius, Nicolaas",[S.l. : s.n.],48,72,15000,300,53.25,52.166666666667,5.3333333333333,4.4833333333333,,
2876,0106051080026,0106051080026.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3212,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3212,Nassovia comitatus / Salomon Rogiers sculpsit ; Guiljelm. Blaeuw excudit,1630,"Annotatie: Origineel is Blad 104 in atlas factice; Annotatie geografische gegevens: Schaalstokken op de kaart: Miliaria Germanica communia, en: Horae itineris",Salomon Rogiers ca 1592- v. 1640; Willem Jansz Blaeu 1571-1638,Amstelodami : Guiljelm. Blaeuw,,,300000,300,51.666666666667,49.416666666667,10.166666666667,7.75,,
4174,0106051080063,0106051080063.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3110,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3110,"Tabula exactissima Regnorum Sueciae et Norvegiae, nec non Maris Universi Orientalis, terrarumq. adjacentium / summo studio ab Andrea Bureo Sueco in lucem edita ; noviter seria cura, singulariq. zelo, dedicatur humillimè Gustavo Adolpho ... a Nicolao Iohannide Piscatore ; Abraham Goos sculpsit",1630,Annotatie: Origineel is Blad 141 in atlas factice; Annotatie geografische gegevens: Met 6 schaalstokken,Claes Jansz. Visscher 1586/1587-1652; Andreas Bureus 1571-1646; Abraham Goos ca. 1589/90-1643,[Amsterdam : Nicolaus Johannis Piscator],46,54,4700000,300,81,54,32,-25,,
474,0106050474001,0106050474001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1254,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1256/show/1254,"[Recto], uit: America noviter delineata / auct. Henrico Hondio",1631,"Annotatie: Oorspr. verschenen in: L'appendice de l'atlas de Gerard Mercator et Iudocus Hondius ... - Amsterdam : Henry Hondius, 1633; Reproductie in eigen beheer","Hondius, Henricus",[Amsterdam : Henr. Hondius],38,50,25000000,300,85,-55,-15,170,,
1514,0106050568001,0106050568001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1600,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1602/show/1600,"[Recto], uit: Delflandia, Schielandia, et insulae trans Mosam illis objacentes ut sunt Voorna, Overflackea, Goerea, Yselmonda, etc. / [Willem Jansz. Blaeu]",1631,"Annotatie: Oorspr. verschenen in: Appendix Theatri A. Ortelii et Atlantis G. Mercatoris ... - Amsterdami : apud Guiljelmum Blaeu, 1631; Bestaat uit twee aan elkaar gemonteerde kaartdelen, afkomstig van twee afzonderlijke afdrukken van de kaart. Bij de rechterhelft ontbreekt op de achterzijde de tekst; Annotatie geografische gegevens: Noordwest boven","Blaeu, Willem Jansz.",[Amsterdam : exc. Guilj. Blaeuw],38,50,130000,300,52.333333333333,51.583333333333,5.1666666666667,3.75,,
1651,0106050450001,0106050450001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1191,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1193/show/1191,"[Recto], uit: Europa exactissime descripta / auctore Henrico Hondio",1631,"Annotatie: Uit: L'appendice de l'atlas de Gerard Mercator et Iudocus Hondius ... - Amsterdam : Henry Hondius, 1633; Met opdracht aan Lodewijk XIII","Hondius, Henricus",Amstelodami : sumptibus auctoris,38,50,11500000,300,85,35,70,-30,,
945,0106050091001,0106050091001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2973,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2973,"Caerte van de Heer-Huygen-Waert, met de omliggende dorpen en huysen : soo die tegenwoordich bedijckt en afgegraven is ... op den 20. Iunijus anno 1631 / Aldus gecavelt ende gemeten, bij ... geadmiteerde Lantmeters ... Anthonis Metius, Cornelis Corneliss, Baert Claess, Dirk Verdoes, Thomas Sevenhuysen ... [et al.] ; C.J. Visscher f",1631,"Annotatie: In cartouche: De Veenhuyser gronden daer onder geleghen, sijn mede verdeelt en geloot aen stucken van 15 morgens; Boven de kaart: Dykgraaf en heemraatschap van den Heer Huygenwaart (met wapens); Annotatie geografische gegevens: Schaalstok: 400 roeden van 12 voeten Geestmerambachts = 6,7 cm. - Oost-Zuidoost boven",Anthonis Adriaansz Metius 1577-1648; Claes Jansz. Visscher 1586/1587-1652,[Amsterdam : C.J. Visscher],5,57,25000,300,53.25,52.166666666667,5.3333333333333,4.4833333333333,,
2857,0106051080006,0106051080006.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3065,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3065,Meklenbvrg dvcatvs / auctore Ioanne Laurenbergio ; S. Rogiers sculp,1631,Annotatie: Origineel is Blad 84 in atlas factice; Annotatie geografische gegevens: Met 2 schaalstokken,Salomon Rogiers ca 1592- v. 1640; Willem Jansz Blaeu 1571-1638,Amstelodami : Guiljelmus Blaeuw excudit,,,450000,300,55,53,15,10.5,,
4195,0106051080046,0106051080046.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3090,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3090,Territorivm Norimbergense,1631,Annotatie: Origineel is Blad 124 in atlas factice; Annotatie geografische gegevens: West boven; Inzet: Nurnberg,Willem Jansz Blaeu 1571-1638,Amstelodami : exc. Guiljelm. Blaeuw,,,200000,300,50.583333333333,47.25,13.833333333333,8.9166666666667,,
433,0106050471001,0106050471001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1224,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1226/show/1224,"[Recto], uit: Africae nova tabula / auct. Henr. Hondio 1631",1633,"Annotatie: Afkomstig uit: Gerardi Mercatoris Atlas ou Representation du monde universel ... - Amsterodami : sumptibus ... Henrici Hondij, 1633, of uit: L'appendice de l'atlas de Gerard Mercator et Iudocus Hondius ... - Amsterdam : Henry Hondius, 1633, of uit een latere editie","Hondius, Henricus",[Amsterdam : Henr. Hondius],38,50,20000000,300,40,-35,80,-20,,
3862,0106050777001,0106050777001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1858,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1860/show/1858,"[Recto], uit: Situs terrae promissionis. S.S. Bibliorum intelligentiam exacte aperiens / per Chr. Adrichom ; sculpserunt Everardus Sim. Hamers-veldt et Salomon Rogeri",1633,"Annotatie: Oorspr. verschenen in: L'Appendice de l'atlas de Gerard Mercator et Iudocus Hondius ... - A Amsterdam : chez Henry Hondius, 1633; Annotatie geografische gegevens: Zuidoost boven","Adrichom, Christiaan van; Hamersveldt, Everard Symonsz. van; Rogiers, Salomon",Amstelodami : sumptibus Henrici Hondii,37,50,830000,300,33.5,29.5,35.666666666667,34.25,,
903,0106050087001,0106050087001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2939,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2939,Beemster,1633,"Annotatie: Oorspr. verschenen in: L'appendice de l'Atlas de Gerard Mercator et Judocus Hondius ... - Amsterdam : Henry Hondius, 1633; Annotatie geografische gegevens: Noordwest boven",,[Amsterdam : Henricus Hondius],,,52000,300,53.25,52.166666666667,5.3333333333333,4.4833333333333,,
2306,0106051080115,0106051080115.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3174,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3174,Insularum Moluccarum nova descriptio,1633,"Annotatie: Zeekaart; Kaart uitg. in de periode ca. 1633-ca. 1680; Origineel is Blad 193 in atlas factice; Annotatie geografische gegevens: Schaalstokken op kaart: 2 Milliaria Germanica communia (=5,4 cm), en: 3 Milliaria Gallica communia (=6 cm); Westen boven",Johannes Janssonius 1588-1664,Amstelodami : Apud Ioannem Ianssonium,,,270000,300,4,-9,136,124,,
1690,0106050155001,0106050155001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/431,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/433/show/431,"[Recto], uit: Frisia Occidentalis / auctoribus Adriano Metio et Gerardo Freitag ; sculpserunt E.S. Hamersveldt et S. Rogeri",1634,"Annotatie: Uit: Gerardi Mercatoris et I. Hondii Atlas ofte Afbeeldinghe vande gantsche Weerldt ... - Amsterdam : Ian Ianssen, 1634","Metius, Adriaan; Freitag, Gerard; Hamersveldt, Everard Symonsz. van; Rogiers, Salomon",Amstelodami : Henricus Hondius excudit,37,48,180000,300,53.583333333333,52.75,6.5,4.75,,
2109,0106050153001,0106050153001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/423,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/425/show/423,"[Recto], uit: Groninga dominium / auctore Bartholdo Wicheringe ; sculpserunt Everardus Sim. Hamers-veldt, et Sal. Rogeri",1634,"Annotatie: Uit: Gerardi Mercatoris et I. Hondii Atlas ofte Afbeeldinghe vande gantsche Weerldt ... - Amsterdam : Ian Ianssen, 1634","Wicheringe, Bartholdus; Hamersveldt, Everard Symonsz. van; Rogiers, Salomon",Amstelodami : excudebat Ioannes Ianssonius,38,50,175000,300,53.583333333333,52.833333333333,7.25,6,,
2329,0106050560001,0106050560001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1594,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1596/show/1594,"[Recto], uit: Irlandiae regnum / per Gerardem Mercatorem",1634,"Annotatie: Uit: Gerardi Mercatoris et I. Hondii atlas ... - Amsterdam : Henricus Hondius en Ian Ianssen, 1634; Oorspr. uitg.: 1595; Annotatie geografische gegevens: West boven","Mercator, Gerhard",[Amsterdam : Henricus Hondius en Ian Ianssen],33,42,2500000,300,56,51,-5,-11,,
419,0106051080134,0106051080134.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3198,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3198,"Æthiopia Inferior, vel Exterior : partes magis septentrionales, quæ hic desiderantur, vide in tabula Ethiopiæ Superioris",1635,"Annotatie: Origineel is Blad 212 in atlas factice; Annotatie geografische gegevens: Met schaalstok: [75] Milliaria Germanica (=6,5 cm)",,[Amsterdam : Willem en Johan Blaeu],,,8300000,300,-5,-35,55,-6,,
457,0106050177001,0106050177001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2448,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2448,Afteeckeninge vande Cap S. Augustyn,1635,"Annotatie geografische gegevens: Legenda: Verclaringe der cyfer getallen, A-K, 1-6",,Amsterdam : Jacob Kyns,30,36,3500,300,5,-35,-26,-75,,
460,0106051016001,0106051016001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2989,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2989,Ager Parisiensis vulgo l'Isle de France / Fr. Guilloterius ... describ. et Petro Pithoeo dedicabat,1635,"Annotatie: Oorspr. verschenen in: Novus atlas ... - Amsterdami : apud Guiljelmum Blaeu, 1635; Origineel is Blad 15 in atlas factice","Guilloterius, Fr.; Pithou, Pierre",[Amsterdam : apud Guiljelmum Blaeu],38,50,150000,300,49.333333333333,48,3.6666666666667,1.3333333333333,,
468,0106051080042,0106051080042.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3085,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3085,Alemannia sive Svevia svperior / a Christophoro Hurtero,1635,"Annotatie: Origineel is Blad 120 in atlas factice; Annotatie geografische gegevens: Schaalstokken op kaart: Milliaria Alemanica quorum 12 um gradui respondent, en: Milliaria Germanica communia; West boven; Legenda linksonder: Expositio notarum",Johann Christoph Hurter; Willem Jansz Blaeu 1571-1638,[Amsterdami] : [apud Guiljelmum Blaeu],,,500000,300,49.833333333333,47.5,10.5,7.5,,
947,0106050663001,0106050663001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2778,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2778,"Caerte vande Scher-Meer met hare dycken, wegen, wateringen, ende cavel-slooten : in voegen als de selve is bedyckt ... volgens welcke yeder syn part by loting ontfangen heeft, op den 25. october anno 1635 / te samen gestelt ende geteykent door Pieter Wils ; Salomon Rogeri sculpsit",1635,Annotatie geografische gegevens: Oostzuidoost boven,"Wils, Pieter; Rogiers, Salomon",[S.l. : s.n.],49,62,20000,300,53.25,52.166666666667,5.3333333333333,4.4833333333333,,
1367,0106051079001,0106051079001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3058,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3058,"Comitatus Bentheim, et Steinfurt / auctore Ioanne Westenberg ; [Willem Jansz. Blaeu]",1635,"Annotatie: Het eerst verschenen in: Ander Theil Novi Atlantis ... - Amsterdami : apud Guiljelmum et Johannem Blaeu, 1635; Origineel is Blad 78 in atlas factice; Annotatie geografische gegevens: Oost boven","Westenberg, Johannes; Blaeu, Willem Jansz.",[Amsterdam : Guljelm. Blaeu excudebat],38,50,230000,300,53.916666666667,51.25,11.583333333333,6.6666666666667,,
1675,0106051080128,0106051080128.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3189,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3189,"Fezzae et Marocchi regna Africae celeberrima, / describebat  Abrah. Ortelius",1635,"Annotatie: Middenonder: Melvia Rio, middenboven: Atlanticvs, (met komma); Origineel is Blad 206 in atlas factice; Annotatie geografische gegevens: Met schaalstok; West boven",Abraham Ortelius 1527-1598,[Amsterdami : apud Guiljelmum et Iohannem Blaeu],,,3000000,300,36,27,-1,-14,,
2791,0106051080021,0106051080021.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3207,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3207,Mansfeldia comitatvs / auctore Tilemanno Stella sig,1635,"Annotatie: Origineel is Blad 99 in atlas factice; Annotatie geografische gegevens: Schaalvermelding op kaart: 2 Milliaria Germanica communia; Kaart toont het graafschap Mansfeld in het gebied tussen Aschersleben, Halle an der Saale, Wiehe Unstruttal en Stolberg",Tilemann Stella 1525-1589,[Amsterdami : apud Guiljelm. Blaeu],,,170000,300,53.25,51,13.5,10.5,,
2877,0106051080103,0106051080103.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3158,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3158,"Natolia, quæ olim Asia Minor",1635,"Annotatie: Kaart vervaardigd ca. 1635; Kaart uitg. tussen ca. 1635-ca. 1670; Origineel is Blad 181 in atlas factice; Annotatie geografische gegevens: Schaalstok op kaart: 20 Milliaria Germanica (=4,3 cm)",Willem Jansz Blaeu 1571-1638; Joan Blaeu 1597/98-1673,[Amsterdam] : [Willem Jansz. en Joan Blaeu],,,3500000,300,43,35,45,25,,
3219,0106051080030,0106051080030.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3069,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3069,Palatinatvs ad Rhenvm,1635,Annotatie: Origineel is Blad 108 in atlas factice; Annotatie geografische gegevens: Met schaalstok: Germanica milliaria; Legenda,Willem Jansz Blaeu 1571-1638,[Amsterdam : apud Guiljelmum Blaeu],,,610000,300,51,48.916666666667,8.5,6.0833333333333,,
